Serial_No	Message_length	low_ratio	no_of_words	avg_word_length
1	14	0.75	3	4.33333333333
2	13	0.75	4	3.25
3	14	0.722222222222	5	2.8
4	9	0.727272727273	3	3.0
5	28	0.771428571429	8	3.5
6	10	0.75	3	3.33333333333
7	23	0.724137931034	7	3.28571428571
8	5	0.666666666667	2	2.5
9	13	0.705882352941	5	2.6
10	20	0.76	6	3.33333333333
11	16	0.75	5	3.2
12	4	0.75	1	4.0
13	15	0.777777777778	4	3.75
14	17	0.761904761905	5	3.4
15	18	0.739130434783	6	3.0
16	23	0.758620689655	7	3.28571428571
17	28	0.794117647059	7	4.0
18	26	0.78125	7	3.71428571429
19	4	0.75	1	4.0
20	11	0.833333333333	2	5.5
21	20	0.76	6	3.33333333333
22	11	0.5	2	3.5
23	18	0.772727272727	5	3.6
24	4	0.75	1	4.0
25	23	0.814814814815	5	4.6
26	18	0.809523809524	4	4.5
27	62	0.802631578947	15	4.13333333333
28	16	0.789473684211	4	4.0
29	14	0.764705882353	4	3.5
30	13	0.533333333333	3	3.0
31	9	0.727272727273	3	3.0
32	11	0.833333333333	2	5.5
33	12	0.785714285714	3	4.0
34	12	0.785714285714	3	4.0
35	19	0.72	7	2.71428571429
36	29	0.666666666667	8	3.125
37	14	0.529411764706	3	3.33333333333
38	19	0.782608695652	5	3.8
39	8	0.7	3	2.66666666667
40	16	0.789473684211	4	4.0
41	4	0.0	0	0
42	13	0.625	4	3.0
43	14	0.666666666667	4	3.25
44	3	0.666666666667	1	3.0
45	6	0.714285714286	2	3.0
46	2	0.0	1	2.0
47	12	0.6875	5	2.4
48	7	0.75	2	3.5
49	12	0.785714285714	3	4.0
50	8	0.777777777778	2	4.0
51	5	0.0	1	4.0
52	8	0.5	1	7.0
53	0	0	0	0
54	23	0.758620689655	7	3.28571428571
55	12	0.785714285714	3	4.0
56	23	0.758620689655	7	3.28571428571
57	16	0.6	5	3.2
58	18	0.739130434783	6	3.0
59	3	0.666666666667	1	3.0
60	5	0.6	1	4.0
61	7	0.666666666667	3	2.33333333333
62	13	0.8	3	4.33333333333
63	30	0.805555555556	7	4.28571428571
64	14	0.764705882353	4	3.5
65	21	0.8	5	4.2
66	8	0.0	0	0
67	6	0.714285714286	2	3.0
68	28	0.84375	5	5.6
69	8	0.0	0	0
70	10	0.666666666667	3	3.33333333333
71	2	0.0	1	2.0
72	16	0.789473684211	4	4.0
73	30	0.783783783784	8	3.75
74	15	0.625	2	5.5
75	21	0.8	5	4.2
76	3	0.666666666667	1	3.0
77	14	0.722222222222	5	2.8
78	2	0.5	1	2.0
79	16	0.789473684211	4	4.0
80	24	0.741935483871	8	3.0
81	6	0.714285714286	2	3.0
82	15	0.7	6	2.5
83	16	0.75	4	4.0
84	4	0.0	0	0
85	16	0.470588235294	2	4.0
86	11	0.769230769231	3	3.66666666667
87	8	0.777777777778	2	4.0
88	4	0.0	0	0
89	15	0.823529411765	3	5.0
90	12	0.0	0	0
91	4	0.75	1	4.0
92	33	0.6	8	3.125
93	6	0.714285714286	2	3.0
94	17	0.8	4	4.25
95	16	0.411764705882	2	4.0
96	6	0.714285714286	2	3.0
97	21	0.8	5	4.2
98	17	0.727272727273	6	2.83333333333
99	17	0.695652173913	7	2.42857142857
100	9	0.727272727273	3	3.0
101	19	0.75	6	3.16666666667
102	12	0.0	0	0
103	12	0.6875	5	2.4
104	14	0.8125	3	4.66666666667
105	13	0.923076923077	1	13.0
106	8	0.0	0	0
107	46	0.183673469388	3	3.33333333333
108	66	0.670886075949	14	3.85714285714
109	12	0.583333333333	1	11.0
110	16	0.875	1	16.0
111	9	0.636363636364	3	2.66666666667
112	20	0.730769230769	7	2.85714285714
113	10	0.692307692308	4	2.5
114	15	0.736842105263	5	3.0
115	21	0.391304347826	3	3.0
116	4	0.6	2	2.0
117	9	0.727272727273	3	3.0
118	25	0.741935483871	7	3.42857142857
119	16	0.75	5	3.2
120	12	0.785714285714	3	4.0
121	2	0.5	1	2.0
122	2	0.5	1	2.0
123	16	0.0	0	0
124	19	0.782608695652	5	3.8
125	24	0.766666666667	7	3.42857142857
126	4	0.0	0	0
127	39	0.775510204082	11	3.54545454545
128	8	0.0	0	0
129	9	0.4	2	2.5
130	4	0.75	1	4.0
131	33	0.8	8	4.125
132	1	0.0	0	0
133	8	0.0	0	0
134	18	0.772727272727	5	3.6
135	17	0.761904761905	5	3.4
136	32	0.0	0	0
137	25	0.75	8	3.125
138	4	0.0	0	0
139	32	0.0	0	0
140	4	0.6	2	2.0
141	2	0.5	1	2.0
142	2	0.5	1	2.0
143	15	0.8	1	14.0
144	21	0.769230769231	6	3.5
145	37	0.711111111111	9	4.11111111111
146	11	0.769230769231	3	3.66666666667
147	17	0.761904761905	5	3.4
148	37	0.651162790698	7	4.14285714286
149	8	0.7	3	2.66666666667
150	20	0.826086956522	4	5.0
151	2	0.5	1	2.0
152	40	0.0	0	0
153	5	0.666666666667	2	2.5
154	24	0.766666666667	7	3.42857142857
155	22	0.777777777778	6	3.66666666667
156	8	0.0	0	0
157	0	0	0	0
158	22	0.777777777778	6	3.66666666667
159	9	0.727272727273	3	3.0
160	6	0.714285714286	2	3.0
161	3	0.666666666667	1	3.0
162	4	0.0	0	0
163	3	0.666666666667	1	3.0
164	20	0.730769230769	7	2.85714285714
165	4	0.0	0	0
166	12	0.785714285714	3	4.0
167	21	0.769230769231	6	3.5
168	5	0.666666666667	2	2.5
169	3	0.666666666667	1	3.0
170	9	0.636363636364	2	4.0
171	4	0.0	0	0
172	23	0.814814814815	5	4.6
173	46	0.775862068966	13	3.53846153846
174	14	0.8125	3	4.66666666667
175	5	0.666666666667	2	2.5
176	19	0.75	6	3.16666666667
177	11	0.714285714286	4	2.75
178	44	0.796296296296	11	4.0
179	10	0.75	3	3.33333333333
180	20	0.76	6	3.33333333333
181	4	0.0	0	0
182	4	0.75	1	4.0
183	9	0.8	2	4.5
184	10	0.75	3	3.33333333333
185	6	0.714285714286	2	3.0
186	1	0.0	0	0
187	18	0.545454545455	4	3.25
188	4	0.0	0	0
189	25	0.75	8	3.125
190	8	0.0	0	0
191	17	0.681818181818	6	2.66666666667
192	17	0.727272727273	6	2.83333333333
193	5	0.666666666667	2	2.5
194	7	0.75	2	3.5
195	6	0.714285714286	2	3.0
196	2	0.5	1	2.0
197	2	0.5	1	2.0
198	10	0.818181818182	2	5.0
199	5	0.666666666667	2	2.5
200	19	0.75	6	3.16666666667
201	12	0.0	0	0
202	8	0.4	3	2.33333333333
203	10	0.75	3	3.33333333333
204	11	0.571428571429	4	2.5
205	3	0.666666666667	1	3.0
206	8	0.777777777778	2	4.0
207	14	0.722222222222	5	2.8
208	7	0.666666666667	3	2.33333333333
209	2	0.5	1	2.0
210	6	0.714285714286	2	3.0
211	5	0.666666666667	2	2.5
212	2	0.5	1	2.0
213	2	0.5	1	2.0
214	4	0.0	0	0
215	1	0.0	0	0
216	10	0.75	3	3.33333333333
217	8	0.636363636364	4	2.0
218	1	0.0	0	0
